date,week,month,year,project,username,atype,vtype,assettype,reviewtype,pkgtype,scene,shot,eftype,state,count,bytes,size,intreviewed,dirreviewed
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1090.0,1090 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1716.0,1716 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1090.0,1090 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,857.0,857 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1094.0,1094 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1736.0,1736 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1094.0,1094 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1734.0,1734 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,2,1106.0,1106 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,882.0,882 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,553.0,553 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,872.0,872 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,559.0,559 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,813.0,813 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,global,,,,,,,1,735.0,735 bytes,,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,shot,entity,,zrt010,zrt010_gen_man_adlt02,,,1,290683033.0,277 MB,yes,
2020-09-10,2020-09-07,2020-09-01,2020,project10,86ad29c6c8c654af4862a6853ec70953,Asset,Master,shot,entity,,zrt010,zrt010_gen_man_adlt02,,,1,290683201.0,277 MB,,
