date,week,month,year,project,username,atype,vtype,assettype,reviewtype,pkgtype,scene,shot,eftype,state,count,bytes,size,intreviewed,dirreviewed
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,440.0,440 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,2272.0,2272 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,2236.0,2236 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,13287.0,13 kB,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,29227.0,29 kB,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,432.0,432 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,777.0,777 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,485.0,485 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,430.0,430 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,1002.0,1002 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,481.0,481 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,434.0,434 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,1010.0,1010 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,489.0,489 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,431.0,431 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,776.0,776 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,483.0,483 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,431.0,431 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,776.0,776 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,483.0,483 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,434.0,434 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,779.0,779 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,489.0,489 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,438.0,438 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,783.0,783 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,497.0,497 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,436.0,436 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,1014.0,1014 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,493.0,493 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,435.0,435 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,1012.0,1012 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,491.0,491 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,437.0,437 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,782.0,782 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,495.0,495 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,432.0,432 bytes,,
2019-05-04,2019-04-29,2019-05-01,2019,project10,4605dc4f5a8fd5d98b9adee4e857d08c,Asset,Master,global,,,,,,,1,1006.0,1006 bytes,,
