date,week,month,year,project,username,atype,vtype,assettype,reviewtype,pkgtype,scene,shot,eftype,state,count,bytes,size,intreviewed,dirreviewed
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,global,,,,,,,2,995298.0,972 kB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,layerpack,,mk021,mk021_050,,,2,3071390877.0,2929 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,lighting,,mk021,mk021_050,,,2,291072442.0,278 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,2,2544.0,2544 bytes,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,2,17897.0,17 kB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,2,6671909.0,6516 kB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,1435001153.0,1369 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,102375251.0,98 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,1431206602.0,1365 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,102381651.0,98 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,1768851513.0,1687 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,1816078304.0,1732 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,1745462061.0,1665 MB,,
2022-06-10,2022-06-06,2022-06-01,2022,project10,54a2c04e8c5b576335cdda318baf8bb6,Asset,Master,shot,,,mk021,mk021_050,,,1,1717426054.0,1638 MB,,
